iter	Passed	Remaining
0	145	145832
1	146	73242
2	147	49030
3	148	36903
4	148	29630
5	149	24787
6	150	21314
7	150	18722
8	151	16724
9	152	15114
10	153	13788
11	154	12685
12	154	11751
13	155	10947
14	156	10251
15	156	9642
16	157	9107
17	158	8636
18	159	8213
19	159	7829
20	160	7481
21	161	7165
22	161	6875
23	162	6610
24	163	6364
25	163	6141
26	164	5933
27	165	5740
28	166	5567
29	167	5400
30	167	5243
31	168	5095
32	169	4957
33	169	4826
34	170	4705
35	171	4590
36	172	4481
37	172	4378
38	173	4282
39	174	4187
40	175	4097
41	175	4012
42	176	3931
43	177	3856
44	178	3784
45	179	3713
46	179	3643
47	180	3579
48	181	3516
49	181	3457
50	182	3400
51	183	3345
52	184	3292
53	184	3239
54	185	3191
55	186	3144
56	187	3098
57	187	3052
58	188	3012
59	189	2970
60	190	2930
61	191	2891
62	191	2854
63	192	2818
64	193	2782
65	194	2747
66	194	2714
67	195	2676
68	196	2645
69	196	2615
70	197	2586
71	198	2558
72	199	2531
73	200	2504
74	200	2478
75	201	2453
76	202	2427
77	203	2403
78	204	2379
79	204	2356
80	205	2334
81	206	2314
82	207	2293
83	208	2272
84	208	2248
85	209	2229
86	210	2206
87	210	2186
88	211	2167
89	212	2147
90	213	2129
91	214	2112
92	214	2094
93	215	2077
94	216	2061
95	217	2045
96	217	2029
97	218	2013
98	219	1998
99	220	1983
100	221	1968
101	221	1951
102	222	1937
103	223	1923
104	224	1910
105	224	1896
106	225	1883
107	226	1871
108	227	1859
109	228	1846
110	229	1835
111	229	1823
112	230	1811
113	231	1801
114	232	1791
115	233	1779
116	234	1769
117	235	1759
118	236	1748
119	236	1737
120	237	1728
121	238	1719
122	239	1706
123	240	1697
124	241	1688
125	242	1678
126	242	1669
127	243	1658
128	244	1650
129	245	1642
130	246	1634
131	247	1626
132	248	1618
133	249	1613
134	250	1606
135	251	1598
136	252	1592
137	253	1583
138	254	1576
139	255	1568
140	256	1561
141	257	1555
142	258	1547
143	259	1542
144	260	1535
145	261	1528
146	262	1520
147	263	1516
148	264	1510
149	265	1504
150	266	1500
151	267	1494
152	268	1488
153	269	1482
154	270	1476
155	271	1470
156	272	1463
157	273	1457
158	274	1451
159	275	1445
160	276	1439
161	277	1434
162	278	1428
163	279	1422
164	279	1416
165	280	1411
166	281	1405
167	282	1400
168	283	1395
169	284	1390
170	285	1385
171	286	1380
172	287	1374
173	288	1369
174	289	1364
175	290	1359
176	292	1358
177	293	1354
178	294	1350
179	295	1345
180	295	1338
181	296	1334
182	297	1329
183	298	1324
184	299	1320
185	301	1317
186	302	1313
187	303	1309
188	304	1305
189	305	1301
190	306	1298
191	307	1294
192	308	1290
193	309	1287
194	310	1283
195	311	1279
196	312	1275
197	314	1272
198	315	1268
199	316	1265
200	317	1262
201	318	1258
202	319	1255
203	321	1254
204	322	1250
205	323	1246
206	324	1242
207	325	1238
208	326	1236
209	327	1232
210	328	1229
211	329	1225
212	330	1221
213	331	1218
214	332	1215
215	333	1211
216	334	1208
217	335	1204
218	337	1202
219	337	1198
220	338	1194
221	339	1191
222	340	1187
223	341	1184
224	342	1180
225	344	1178
226	345	1175
227	346	1172
228	347	1168
229	348	1165
230	349	1162
231	350	1159
232	351	1155
233	352	1153
234	353	1150
235	354	1147
236	355	1144
237	356	1141
238	357	1138
239	358	1135
240	359	1132
241	360	1129
242	361	1127
243	362	1124
244	364	1122
245	365	1118
246	366	1116
247	367	1113
248	368	1110
249	369	1108
250	370	1105
251	371	1102
252	372	1099
253	373	1096
254	374	1093
255	375	1091
256	376	1088
257	377	1085
258	378	1083
259	379	1080
260	380	1077
261	381	1074
262	382	1072
263	383	1069
264	384	1067
265	385	1064
266	386	1061
267	387	1059
268	388	1056
269	389	1053
270	390	1050
271	391	1048
272	392	1045
273	393	1042
274	394	1039
275	395	1037
276	396	1035
277	397	1033
278	398	1030
279	399	1027
280	400	1025
281	401	1022
282	402	1020
283	403	1017
284	404	1015
285	405	1013
286	406	1010
287	407	1008
288	408	1005
289	409	1003
290	410	1001
291	411	998
292	412	996
293	414	994
294	414	991
295	415	989
296	416	986
297	417	984
298	418	981
299	419	979
300	420	977
301	421	974
302	422	972
303	423	969
304	424	967
305	425	964
306	426	963
307	427	960
308	428	958
309	429	956
310	430	954
311	431	951
312	432	949
313	433	947
314	434	945
315	435	942
316	436	940
317	437	937
318	438	935
319	439	933
320	440	931
321	441	929
322	442	926
323	442	924
324	443	922
325	445	920
326	446	918
327	447	916
328	448	915
329	451	916
330	452	914
331	453	912
332	454	910
333	455	908
334	456	906
335	458	905
336	461	908
337	463	907
338	464	906
339	467	906
340	468	905
341	469	903
342	471	903
343	473	902
344	474	901
345	476	900
346	478	899
347	479	897
348	480	895
349	481	893
350	483	893
351	484	891
352	486	891
353	488	892
354	490	890
355	491	889
356	492	887
357	493	885
358	494	883
359	495	881
360	497	879
361	498	878
362	499	876
363	500	875
364	501	873
365	503	871
366	504	870
367	506	869
368	507	867
369	508	865
370	509	864
371	510	861
372	511	860
373	512	858
374	513	856
375	515	855
376	516	853
377	517	852
378	519	850
379	520	848
380	521	847
381	522	845
382	523	843
383	524	842
384	526	840
385	527	839
386	528	837
387	530	836
388	531	834
389	532	832
390	533	830
391	534	828
392	535	826
393	536	825
394	537	823
395	539	822
396	540	820
397	541	818
398	542	816
399	543	815
400	544	813
401	545	811
402	546	809
403	547	808
404	548	806
405	549	804
406	550	802
407	551	800
408	553	799
409	554	797
410	555	795
411	556	793
412	557	792
413	558	790
414	559	788
415	560	787
416	561	785
417	563	783
418	563	782
419	565	780
420	566	778
421	567	777
422	568	775
423	569	773
424	570	772
425	571	770
426	572	768
427	574	767
428	575	765
429	576	763
430	577	761
431	578	760
432	579	758
433	580	757
434	581	755
435	582	753
436	583	752
437	585	750
438	586	749
439	587	747
440	588	746
441	589	744
442	590	742
443	591	741
444	593	739
445	594	738
446	595	736
447	596	735
448	598	733
449	599	732
450	600	730
451	601	729
452	602	728
453	604	726
454	605	725
455	606	723
456	607	722
457	608	720
458	610	719
459	611	717
460	613	716
461	614	715
462	615	713
463	616	712
464	617	710
465	618	709
466	619	707
467	621	705
468	622	704
469	623	702
470	624	701
471	625	699
472	626	698
473	627	696
474	628	694
475	629	693
476	631	691
477	632	690
478	633	688
479	634	687
480	635	686
481	637	684
482	638	683
483	639	681
484	640	680
485	642	679
486	643	677
487	644	676
488	645	674
489	646	673
490	648	671
491	649	670
492	650	669
493	652	668
494	653	666
495	655	665
496	656	664
497	658	663
498	659	661
499	660	660
500	662	659
501	663	658
502	664	656
503	665	655
504	667	653
505	668	652
506	669	650
507	670	649
508	671	647
509	672	646
510	674	645
511	675	643
512	676	642
513	677	640
514	679	639
515	680	638
516	681	637
517	683	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	628
523	690	626
524	691	625
525	692	623
526	693	622
527	694	621
528	695	619
529	697	618
530	698	616
531	699	615
532	700	613
533	701	612
534	702	610
535	704	609
536	705	608
537	706	606
538	708	605
539	709	604
540	710	602
541	711	601
542	712	599
543	713	598
544	715	596
545	716	595
546	717	594
547	718	592
548	720	591
549	721	590
550	722	588
551	723	587
552	725	586
553	726	584
554	727	583
555	728	581
556	729	580
557	730	578
558	732	577
559	733	576
560	734	574
561	735	573
562	737	572
563	738	570
564	739	569
565	741	568
566	742	566
567	743	565
568	744	564
569	746	563
570	747	561
571	749	560
572	750	558
573	751	557
574	752	556
575	753	554
576	754	553
577	756	552
578	757	551
579	759	549
580	760	548
581	761	547
582	763	545
583	764	544
584	765	543
585	766	541
586	768	540
587	769	539
588	770	537
589	771	536
590	773	535
591	774	534
592	776	532
593	777	531
594	779	530
595	780	529
596	781	527
597	783	526
598	784	525
599	785	523
600	786	522
601	788	521
602	789	519
603	790	518
604	791	516
605	793	515
606	794	514
607	795	513
608	797	511
609	798	510
610	799	509
611	800	507
612	802	506
613	803	505
614	805	503
615	806	502
616	807	501
617	808	499
618	810	498
619	811	497
620	812	495
621	813	494
622	815	493
623	816	491
624	817	490
625	818	488
626	819	487
627	820	486
628	821	484
629	822	483
630	823	481
631	825	480
632	826	478
633	827	477
634	828	476
635	829	474
636	831	473
637	832	472
638	833	470
639	834	469
640	835	468
641	837	466
642	838	465
643	839	464
644	840	462
645	841	461
646	842	459
647	844	458
648	845	457
649	846	455
650	847	454
651	848	453
652	850	451
653	851	450
654	852	449
655	853	447
656	855	446
657	856	445
658	857	443
659	858	442
660	860	441
661	861	439
662	862	438
663	863	437
664	864	435
665	866	434
666	867	433
667	868	431
668	869	430
669	870	428
670	872	427
671	873	426
672	874	424
673	875	423
674	877	422
675	878	420
676	879	419
677	880	418
678	881	416
679	883	415
680	884	414
681	885	412
682	886	411
683	887	410
684	889	408
685	890	407
686	891	406
687	892	404
688	894	403
689	895	402
690	896	401
691	898	399
692	899	398
693	900	397
694	902	395
695	903	394
696	904	393
697	906	392
698	907	390
699	908	389
700	910	388
701	911	386
702	912	385
703	913	384
704	915	382
705	916	381
706	917	380
707	918	378
708	919	377
709	921	376
710	922	375
711	923	373
712	925	372
713	926	371
714	927	369
715	928	368
716	930	367
717	931	365
718	932	364
719	934	363
720	935	361
721	936	360
722	937	359
723	939	358
724	940	356
725	942	355
726	943	354
727	944	352
728	946	351
729	947	350
730	948	349
731	950	347
732	951	346
733	953	345
734	954	344
735	955	342
736	957	341
737	959	340
738	960	339
739	961	337
740	963	336
741	964	335
742	965	334
743	967	332
744	968	331
745	969	330
746	971	328
747	972	327
748	973	326
749	975	325
750	976	323
751	977	322
752	978	321
753	980	319
754	981	318
755	982	317
756	984	316
757	985	314
758	987	313
759	988	312
760	990	310
761	991	309
762	992	308
763	994	307
764	995	305
765	996	304
766	998	303
767	999	301
768	1000	300
769	1001	299
770	1003	298
771	1004	296
772	1005	295
773	1007	294
